time,id,mass,radius,px,py,pz,vx,vy,vz
3.2003309673854766e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.0672824465560094e+01,-4.6000088389337457e-01,0.0000000000000000e+00,7.3629981929908404e+00,1.4399322198907130e+00,0.0000000000000000e+00

3.4000735922024489e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.1415348074460397e+01,-1.9600465788432277e-03,0.0000000000000000e+00,3.3572595437533004e-01,6.5544820216763156e-05,0.0000000000000000e+00
3.4000735922024489e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.1215082014528088e+01,-2.9966400218727413e-01,0.0000000000000000e+00,1.6491066445962788e+00,-1.2328013581013865e+01,0.0000000000000000e+00

3.6001175242771112e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.2086973596937792e+01,-2.0758886314157020e-03,0.0000000000000000e+00,3.3573782930231555e-01,8.1663178033798445e-05,0.0000000000000000e+00
3.6001175242771112e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.1901784810413169e+01,-2.6505829581016771e-01,0.0000000000000000e+00,4.6161394604394601e-01,-1.3939849362717361e+01,0.0000000000000000e+00

3.8006489178198493e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.2760234702777385e+01,-2.1903125499237201e-03,0.0000000000000000e+00,3.3567592178601585e-01,-7.7580631828424269e-05,0.0000000000000000e+00
3.8006489178198493e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.2691656737137997e+01,-4.0040973757761794e-01,0.0000000000000000e+00,6.6523655760152769e+00,1.9845316235049446e+00,0.0000000000000000e+00

4.0000433135304228e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.3429680504416591e+01,-2.3069149498650228e-03,0.0000000000000000e+00,3.3574187088146951e-01,8.5007895922692433e-05,0.0000000000000000e+00
4.0000433135304228e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.3273516069633605e+01,-2.5226810734760530e-01,0.0000000000000000e+00,5.7456030650226586e-02,-1.4274321151606760e+01,0.0000000000000000e+00

4.2001860729853192e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.4101637665172957e+01,-2.4215126582971497e-03,0.0000000000000000e+00,3.3570371091542262e-01,4.4470909248007086e-07,0.0000000000000000e+00
4.2001860729853192e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.3976937285289036e+01,-3.4780264499228813e-01,0.0000000000000000e+00,3.8734526353404015e+00,-5.8180024685854095e+00,0.0000000000000000e+00

4.4001071134657415e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.4772850260612380e+01,-2.5399204754765182e-03,0.0000000000000000e+00,3.3594794941962519e-01,2.9880370260276762e-04,0.0000000000000000e+00
4.4001071134657415e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.4696419504248135e+01,-4.9525292948200614e-02,0.0000000000000000e+00,-2.0550397784916434e+01,-3.5653901819614056e+01,0.0000000000000000e+00

4.6000138711050958e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.5444015839524402e+01,-2.6531581653092468e-03,0.0000000000000000e+00,3.3573513654171022e-01,6.0892759948523963e-05,0.0000000000000000e+00
4.6000138711050958e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.5322198475215082e+01,-2.6743605123104847e-01,0.0000000000000000e+00,7.3089000657631331e-01,-1.1862807554189351e+01,0.0000000000000000e+00

4.8000425599109164e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.6115590080855462e+01,-2.7698508386407709e-03,0.0000000000000000e+00,3.3580091230370623e-01,1.7605287562458196e-04,0.0000000000000000e+00
4.8000425599109164e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.6019203547512117e+01,-1.4688819401017830e-01,0.0000000000000000e+00,-5.8466861930244489e+00,-2.3378819121794891e+01,0.0000000000000000e+00

5.0000628081608845e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.6787135892520876e+01,-2.8836510282960475e-03,0.0000000000000000e+00,3.3569347455176457e-01,-9.6975998555979995e-05,0.0000000000000000e+00
5.0000628081608845e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.6725322321546592e+01,-3.1510138625804718e-01,0.0000000000000000e+00,4.8970890011413903e+00,3.9240682962612699e+00,0.0000000000000000e+00

5.2000312801966523e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.7458507719885560e+01,-3.0001937947111024e-03,0.0000000000000000e+00,3.3567854736174885e-01,-2.3963824761536617e-04,0.0000000000000000e+00
5.2000312801966523e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.7446398397118557e+01,-2.0606758646092319e-01,0.0000000000000000e+00,6.3898080027137762e+00,1.8190293202200106e+01,0.0000000000000000e+00

5.4000237469393241e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.8129960618026885e+01,-3.1158612542740837e-03,0.0000000000000000e+00,3.3567793978260796e-01,-2.6131666984054462e-04,0.0000000000000000e+00
5.4000237469393241e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.8116438382268690e+01,-1.8594981384658238e-01,0.0000000000000000e+00,6.4505659168048171e+00,2.0358135424718093e+01,0.0000000000000000e+00

5.6001714310086960e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.8801934903055361e+01,-3.2308381181308521e-03,0.0000000000000000e+00,3.3569099758875753e-01,-1.7335780826434547e-04,0.0000000000000000e+00
5.6001714310086960e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.8760834493621193e+01,-2.4385313319535151e-01,0.0000000000000000e+00,5.1447853018458298e+00,1.1562249267098579e+01,0.0000000000000000e+00

5.8000026570590677e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,1.9472846783668377e+01,-3.3458348279300346e-03,0.0000000000000000e+00,3.3572697586643224e-01,-3.2363454554987937e-05,0.0000000000000000e+00
5.8000026570590677e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,1.9397282972158237e+01,-2.8150105470215792e-01,0.0000000000000000e+00,1.5469575343773394e+00,-2.5371861038370782e+00,0.0000000000000000e+00

6.0000291701688838e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,2.0144413763355228e+01,-3.4625627387732507e-03,0.0000000000000000e+00,3.3579256342923175e-01,1.6306980106796560e-04,0.0000000000000000e+00
6.0000291701688838e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,2.0089978968025644e+01,-1.5730383181470259e-01,0.0000000000000000e+00,-5.0117987455734019e+00,-2.2080511666132558e+01,0.0000000000000000e+00

6.2001333203014077e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,2.0816241514558296e+01,-3.5776130318911767e-03,0.0000000000000000e+00,3.3569495989798320e-01,-2.0450396226407062e-04,0.0000000000000000e+00
6.2001333203014077e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,2.0771567203358281e+01,-2.0535077946520336e-01,0.0000000000000000e+00,4.7485543792831271e+00,1.4676864667070696e+01,0.0000000000000000e+00

6.4000076505464435e+01,0,1.0000000000000000e+02,1.9741257240167391e-06,2.1487297986281661e+01,-3.6924894045095176e-03,0.0000000000000000e+00,3.3574153284004193e-01,-3.3793938647260565e-05,0.0000000000000000e+00
6.4000076505464435e+01,1,1.0000000000000000e-03,1.9741257240167395e-08,2.1420812372116476e+01,-2.5752105334007591e-01,0.0000000000000000e+00,9.1260173414316276e-02,-2.3941376946094168e+00,0.0000000000000000e+00

