R,R/Rg,Tc,rho,P,cs,H,visc,Sigma,Q,grad_T,grad_Sigma,grad_P
362167.421151664,366914.2378402494,1516.4896256887764,2.039630491876741e-06,5.04978413164159e-08,0.15734779405520327,3429.4570591405077,5.3961750306280365,0.006918525538214248,0.0003321396115525018,0.7818191697496673,0.6881076602943494,2.5958757379318627
367210.7500957257,372023.6681413066,1500.1848007010406,1.989857810470964e-06,4.871706697165014e-08,0.1564694459448878,3481.7955382011874,5.447946187557222,0.006852971217895759,0.0003265992559704968,0.7815112655998178,0.6887243720216816,2.596152253458513
372324.3094507873,377204.2493417001,1484.0615762498373,1.9412762411504805e-06,4.6998911660328864e-08,0.15559664590127217,3534.9474304992577,5.500259636230049,0.006787980451733822,0.0003211553736135457,0.7812056192461796,0.6893345613145812,2.5964260690544734
377509.0772039436,382456.9722466999,1468.1178186526824,1.893858102063161e-06,4.5341181463417896e-08,0.15472934892351023,3588.9254387085343,5.553120964663948,0.006723549595958953,0.0003158061777857338,0.7809022324397006,0.6899382961383935,2.596697207456941
382766.04496116046,387782.84145894536,1452.3514208752422,1.8475763259385914e-06,4.3741758971347074e-08,0.15386751051550565,3643.742464216837,5.606535819286786,0.006659675003771119,0.00031054991766583587,0.7806011063098595,0.6905356438832086,2.596965691381058
388096.2181369208,393182.87557057705,1436.7603021900152,1.802404447444258e-06,4.21986006315563e-08,0.15301108667873492,3699.411610238496,5.660509905545209,0.006596353026078177,0.00030538487751616907,0.7803022413835379,0.6911266713649411,2.597231543516159
393500.616146512,398658.1073580439,1421.3424078388268,1.7583165907671169e-06,4.070973418731964e-08,0.15216003390518199,3755.946184975627,5.715048988519304,0.0065335800122164585,0.00030030937591063017,0.7800056376028124,0.691711444824648,2.597494786516137
398980.2726009975,404209.583979631,1406.0957086991118,1.715287457417803e-06,3.927325620473561e-08,0.15131430917038194,3813.3597048290403,5.770158893543779,0.006471352310653665,0.000295321764981403,0.7797112943430875,0.6922900299305184,2.5977554429927636
404536.23550489324,409838.36717572616,1391.0182009540144,1.6732923142545677e-06,3.7887329684875096e-08,0.15047386992657444,3871.665897659327,5.825845506835437,0.0064096662696745774,0.00029042042968386304,0.7794192104313424,0.692862491777646,2.598013535512564
410169.5674566073,415545.5334718871,1376.1079057662466,1.6323069817242109e-06,3.655018175818107e-08,0.14963867409596246,3930.8787060991776,5.8821147761273345,0.006348518238049553,0.0002856037870791772,0.779129384163582,0.6934288948905305,2.598269086591017
415881.345851664,421332.1743847289,1361.3628689557277,1.592307822317119e-06,3.5260101458311954e-08,0.1488086800640765,3991.012290917526,5.938972711309431,0.006287904565686309,0.0002808702856341533,0.7788418133204118,0.6939893032214854,2.5985221186839453
421672.6630887566,427199.3966306777,1346.78116068098,1.5532717292336128e-06,3.401543757271577e-08,0.14798384667324269,4052.081034436391,5.996425385075895,0.006227821604265121,0.0002762184045378815,0.7785564951846595,0.6945437801537651,2.5987726541813743
427544.62677867897,433148.3223376403,1332.3608751242446,1.5151761152587728e-06,3.281459656731303e-08,0.1471641332161516,4114.099544001367,6.054478933579257,0.006168265707857599,0.0002716466530347234,0.7782734265576323,0.6950923885021325,2.599020715405942
433498.3599561532,439180.0892596086,1318.100130180336,1.4779989018428507e-06,3.16560405827552e-08,0.1463494994295284,4177.08265550635,6.113139557091196,0.006109233233529585,0.0002671535697732328,0.7779926037758855,0.6956351905151905,2.5992663246073278
439535.0012946202,445295.85099426506,1303.9970671491794,1.4417185083845156e-06,3.053828549981227e-08,0.14553990548790055,4241.045436973632,6.172413520670342,0.006050720541928058,0.00026273772217058275,0.7777140227254904,0.6961722478749834,2.5995095039546925
445655.7053240127,451496.77720361017,1290.0498504320396,1.406313841714052e-06,2.945989907152445e-08,0.1447353119974636,4306.0031921900045,6.232307154836945,0.0059927239978525915,0.0002583977057921056,0.7774376788576092,0.69670362170001,2.599750275532216
451861.6426515605,457784.05383766163,1276.2566672314113,1.371764285773689e-06,2.841949911983346e-08,0.14393567999004223,4371.971464399833,6.292826856254506,0.005935239970811499,0.0002541321437455492,0.7771635672041839,0.697229372546019,2.5999886613366527
458154.0001856797,464158.8833612782,1262.6157272545329,1.3380496914923014e-06,2.741575179448718e-08,0.14314097091714512,4438.966040056097,6.353979088418646,0.0058782648355628206,0.0002499396860896657,0.7768916823929999,0.6977495604095338,2.600224683273666
464533.98136296635,470622.48498412815,1249.1252624205354,1.305150366851558e-06,2.6447369892083778e-08,0.1423511466441136,4507.002952630068,6.415770382352957,0.005821794972640611,0.0002458190092567738,0.7766220186605892,0.6982642447276248,2.600458363151006
471002.8063783643,477176.0948938741,1235.783526571164,1.2730470671408725e-06,2.5513111233197435e-08,0.14156616944435993,4576.098486480817,6.478207337312222,0.00576582676886656,0.00024176881548891848,0.7763545698670669,0.6987734843805242,2.6006897226745593
477561.7124185293,483820.96649259573,1222.588795185076,1.2417209853981926e-06,2.4611777095592847e-08,0.14078600199369687,4646.269180785264,6.541296621492863,0.005710356617847338,0.0002377878322872931,0.7760893295100573,0.6992773376944683,2.6009187834470993
484211.9538984426,490558.3706365046,1209.5393650956871,1.211153743034037e-06,2.3742210701609195e-08,0.1400106073647555,4717.5318335298025,6.605044972750764,0.005655380920457878,0.00023387481187457786,0.7758262907385642,0.6997758624438006,2.601145566964391
490954.8027013292,497389.5958790068,1196.6335542125132,1.1813273806358541e-06,2.2903295757852463e-08,0.13923994902148912,4789.90350556458,6.669459199326641,0.005600896085310708,0.00023002853066985698,0.7755654463648796,0.7002691158519951,2.601370094610587
497791.54842190247,504315.9487171359,1183.8697012460239,1.1522243489500474e-06,2.2093955045404587e-08,0.13847399081376416,4863.401524721139,6.734546180578817,0.00554689852921183,0.00022624778877580813,0.7753067888778276,0.7007571545950668,2.601592387653426
504723.49861301074,511338.75384143216,1171.2461654359388,1.1238275000389277e-06,2.13131490588148e-08,0.13771269697203464,4938.043489994746,6.800312867723747,0.005493384677603074,0.00022253140947783504,0.7750503104558675,0.7012400348039591,2.6018124672450824
511751.97903570853,518459.3543892913,1158.7613262829677,1.0961200786098196e-06,2.0559874692198292e-08,0.13695603210209994,5013.847275792139,6.866766284584146,0.005440350964991435,0.00021887823875485005,0.7747960029794285,0.701717812067443,2.6020303544181616
518878.33391281054,525679.1122018419,1146.413583283959,1.0690857135137117e-06,1.983316397082609e-08,0.1362039611799449,5090.831036245851,6.933913528344886,0.0053877938353654765,0.00021528714480140862,0.7745438580417101,0.7021905414330831,2.6022460700814065
526103.926185986,532999.4080844093,1134.2013556704082,1.042708409410673e-06,1.9132082826641253e-08,0.13545644954665914,5169.013209596212,7.001761770316839,0.0053357097425990214,0.00021175701756090054,0.7742938669609885,0.7026582774115013,2.602459635016885
533430.1377764182,540421.6420705914,1122.123082150334,1.0169725385994506e-06,1.8455729916194176e-08,0.13471346290343722,5248.412522641881,7.070318256708525,0.005284095150842499,0.0002082867682695311,0.7740460207923263,0.7031210739787639,2.6026710698805573
540858.3698491094,547947.2336900282,1110.1772206534522,9.918628330085745e-07,1.7803235479537502e-08,0.13397496730665534,5329.047995260268,7.139590309405916,0.005232946534901972,0.0002048753290108057,0.773800310338089,0.7035789845788258,2.602880395196877
548390.0430808553,555577.6222398878,1098.362248079648,9.67364376346355e-07,1.717376023867278e-08,0.13324092916302568,5410.938944998671,7.209585326760249,0.005182260380606259,0.00020152165228026447,0.7735567261595122,0.7040320621270553,2.603087631360495
556026.5979319519,563314.2670601351,1086.6766600507028,9.434625964071511e-07,1.6566494334187952e-08,0.13251131522482643,5494.104991737356,7.28031078438401,0.005132033185162301,0.00019822471056020352,0.7733152585863081,0.7044803590121091,2.603292798630463
563769.4949216964,571158.6478126434,1075.1189706652367,9.201432575314002e-07,1.59806562987723e-08,0.13178609258520513,5578.566062425821,7.351774235955324,0.005082261457498898,0.00019498349590413012,0.7730758977268408,0.7049239270996281,2.6034959171275602
571620.214907708,579112.2647641759,1063.6877122568594,8.973924532167686e-07,1.541549206633869e-08,0.13106522867355677,5664.342395893104,7.423983314030522,0.005032941718599248,0.00019179701953071665,0.772838633479779,0.7053628177362725,2.603697006839184
579580.2593691548,587176.639073325,1052.381435155468,8.751965988779576e-07,1.4870274015527507e-08,0.13034869125097243,5751.454547733625,7.496945730865315,0.004984070501822275,0.00018866431142700382,0.7726034555420824,0.7057970817506884,2.6038960876119006
587651.1506939147,595353.313081437,1041.1987074516826,8.535424247526285e-07,1.4344300046407948e-08,0.12963644840575975,5839.923395269489,7.570669279244424,0.004935644353213125,0.00018558441996063263,0.772370353418836,0.706226769458226,2.6040931791497144
595834.4324697336,603643.8506075863,1030.1381147643863,8.32416968950985e-07,1.3836892689233175e-08,0.1289284685490331,5929.770142590524,7.645161833319778,0.004887659831803011,0.00018255641150087643,0.7721393164329982,0.7066519306634973,2.604288301016254
604131.6697794507,612049.8372476703,1019.1982600113139,8.11807570646533e-07,1.3347398244143858e-08,0.12822472041037183,6021.016325673435,7.720431349457606,0.004840113509898488,0.00017957937004825104,0.771910333734894,0.7070726146648099,2.6044814726333527
612544.4495003168,620572.8806776501,1008.3777631826955,7.917018634056084e-07,1.2875185950753894e-08,0.12752517303354718,6113.683817580965,7.796485867094099,0.0047930019733606055,0.00017665239687249831,0.7716833943090933,0.7074888702555313,2.6046727132771537
621074.3806074981,629214.6109610337,997.6752611178836,7.720877686532627e-07,1.2419647186587205e-08,0.12682979577231437,6207.794833742737,7.8733335096001955,0.00474632182187387,0.00017377461015872614,0.7714584869846135,0.7079007457290345,2.6048620420772863
629723.0944817971,637976.6808606283,987.0894072849582,7.529534892731103e-07,1.1980194693370303e-08,0.12613855828627113,6303.371937318703,7.950982485155211,0.004700069669205449,0.0001709451446615115,0.7712356004426226,0.7083082888813124,2.6050494780190547
638492.2452216537,646860.7661546321,976.6188715632735,7.342875033388195e-07,1.1556261830219801e-08,0.12545143053678065,6400.43804464662,8.029441087629538,0.004654242143454719,0.00016816315136676852,0.7710147232241695,0.7087115470146728,2.605235039939373
647383.5099595089,655868.5659571436,966.2623400288921,7.160785579748914e-07,1.1147301852795693e-08,0.12476838278295702,6499.016430775068,8.108717697476708,0.004608835887293262,0.00016542779716118456,0.7707958437393927,0.709110566941888,2.6054187465296366
656398.5891825508,665001.8030431118,956.0185147429107,6.983156633444376e-07,1.075278721752437e-08,0.12408938557771411,6599.1307350829,8.18882078263446,0.004563847558195756,0.0001627382645090489,0.7705789502728919,0.7095053949882413,2.605600616331486
665539.2070579486,674262.2241778335,945.886113542606,6.809880867616976e-07,1.0372208910025092e-08,0.12341440976387505,6700.804966987009,8.26975889943544,0.004519273828661652,0.0001600937511362832,0.7703640309925106,0.7098960769958467,2.605780667735928
674807.111762602,683651.6004510239,935.8638698353986,6.64085346927034e-07,1.0005075796903708e-08,0.12274342647034239,6804.063511739368,8.351540693527207,0.004475111386428057,0.00015749346972150445,0.3851285317063571,0.999797762056005,-1.5543769033074284
684204.0758174825,693171.72761554,935.8638698353986,7.207776522552931e-07,1.0827855452601164e-08,0.12256615674210275,6936.648584542072,8.501983576778686,0.004396014070998942,0.0001568088764760734,0.6929469152044305,0.7680759792773983,1.7731503690717432
693731.8964266443,702824.4264308353,918.0979009482216,6.452068455905404e-07,9.526234754424707e-09,0.12150975816625903,7021.005134011882,8.531206359178467,0.004381044974865297,0.00015278600829861643,1.1427749976637926,0.43046632765179993,6.637171871940353
703392.3958209344,712611.5430111745,906.7460119304347,6.178814978218685e-07,9.011906168706644e-09,0.12076907370458832,7124.475189171577,8.604162692275729,0.00434398490223459,0.00015000597523733388,0.4498280824593621,0.955048216409466,-0.8274614839478716
713187.4216065118,722534.9491787207,906.7460119304347,6.701421697928216e-07,9.746770875035358e-09,0.12059988806104784,7263.6190138726615,8.759916399911416,0.00426683315356165,0.00014937343406063808,0.7014220336528467,0.762965766407774,1.8758704667416453
723118.8471182038,732596.542821523,889.3243103396727,5.986984490576187e-07,8.556254278693843e-09,0.11954675024869883,7351.110244329961,8.78801340429565,0.004253275879713282,0.00014549140378420885,1.1533585293733495,0.42048649767843926,6.739831840552057
733188.5717777847,742798.248256491,878.2769754694732,5.730043413726961e-07,8.089130016016467e-09,0.11881518586466923,7459.266469384895,8.862741319740614,0.004217496900250415,0.0001428338963096295,0.45193649572036065,0.9560970103402724,-0.783086277427202
743398.521457257,753142.0165974376,878.2769754694732,6.210561116721157e-07,8.743596839600563e-09,0.11865325106106674,7605.238207918636,9.023862384633873,0.004142274777866139,0.0001422478897806725,0.7013237775808534,0.7641177957418108,1.8849835526774257
